,STUDENTS,GPA,GPA_PROB,CLASS,GRADE,SEMESTER
35,Student_36,3.77,0.0011503687587917765,CS 487,65.26325,Fall 2022
36,Student_37,2.55,0.0007781008845939071,CS 487,48.21375,Fall 2022
37,Student_38,3.85,0.001174779766935899,CS 487,66.38125,Fall 2022
38,Student_39,2.47,0.0007536898764497847,CS 487,47.09575,Fall 2022
39,Student_40,3.09,0.0009428751895667345,CS 487,55.76024999999999,Fall 2022
40,Student_41,3.16,0.0009642348216928419,CS 487,56.7385,Fall 2022
41,Student_42,3.75,0.0011442660067557458,CS 440,58.369125,Fall 2022
42,Student_43,3.21,0.0009794917017829185,CS 440,51.590775,Fall 2022
43,Student_44,3.6,0.001098495366485516,CS 440,56.48625,Fall 2022
44,Student_45,3.52,0.0010740843583413936,CS 440,55.48205,Fall 2022
45,Student_46,3.47,0.0010588274782513168,CS 440,54.854425000000006,Fall 2022
46,Student_47,3.18,0.0009703375737288725,CS 440,51.214200000000005,Fall 2022
47,Student_48,2.68,0.0008177687728281064,CS 440,44.93795,Fall 2022
48,Student_49,3.21,0.0009794917017829185,CS 440,51.590775,Fall 2022
49,Student_50,3.65,0.0011137522465755926,CS 440,57.113875,Fall 2022
50,Student_51,3.15,0.0009611834456748265,CS 440,50.837624999999996,Fall 2022
51,Student_52,3.67,0.0011198549986116233,CS 440,57.364925,Fall 2022
52,Student_53,3.74,0.0011412146307377307,CS 440,58.2436,Fall 2022
53,Student_54,3.59,0.0010954439904675007,CS 440,56.360724999999995,Fall 2022
54,Student_55,3.17,0.0009672861977108572,CS 440,51.088675,Fall 2022
55,Student_56,3.57,0.00108934123843147,CS 440,56.109674999999996,Fall 2022
56,Student_57,2.8,0.0008543852850442902,CS 440,46.44425,Fall 2022
57,Student_58,3.33,0.0010161082139991022,CS 440,53.097075000000004,Fall 2022
58,Student_59,3.23,0.000985594453818949,CS 440,51.841825,Fall 2022
59,Student_60,3.64,0.0011107008705575773,CS 440,56.988350000000004,Fall 2022
60,Student_61,3.03,0.0009245669334586426,CS 440,49.331325,Fall 2022
61,Student_62,2.97,0.0009062586773505508,CS 440,48.578175,Fall 2022
62,Student_63,3.41,0.001040519222143225,CS 440,54.101275,Fall 2022
63,Student_64,3.23,0.000985594453818949,CS 440,51.841825,Fall 2022
64,Student_65,3.59,0.0010954439904675007,CS 440,56.360724999999995,Fall 2022
65,Student_66,3.91,0.0011930880230439911,CS 440,60.377525000000006,Fall 2022
66,Student_67,3.02,0.0009215155574406273,CS 440,49.205799999999996,Fall 2022
67,Student_68,3.25,0.0009916972058549797,CS 440,52.092875,Fall 2022
68,Student_69,2.88,0.0008787962931884128,CS 440,47.44845,Fall 2022
69,Student_70,3.49,0.0010649302302873475,CS 440,55.105475000000006,Fall 2022
70,Student_71,3.28,0.0010008513339090257,CS 440,52.469449999999995,Fall 2022
71,Student_72,3.84,0.0011717283909178837,CS 440,59.49885,Fall 2022
72,Student_73,3.71,0.0011320605026836847,CS 440,57.867025,Fall 2022
73,Student_74,2.94,0.0008971045492965048,CS 440,48.2016,Fall 2022
74,Student_75,3.06,0.0009337210615126886,CS 440,49.7079,Fall 2022
75,Student_76,3.37,0.0010283137180711636,CS 440,53.599175,Fall 2022
76,Student_77,2.82,0.0008604880370803209,CS 440,46.695299999999996,Fall 2022
77,Student_78,3.68,0.0011229063746296386,CS 440,57.49045,Fall 2022
78,Student_79,3.76,0.0011473173827737612,CS 440,58.49464999999999,Fall 2022
79,Student_80,2.66,0.0008116660207920758,CS 440,44.6869,Fall 2022
80,Student_81,3.74,0.0011412146307377307,CS 440,58.2436,Fall 2022
81,Student_82,2.69,0.0008208201488461217,CS 440,45.063475,Fall 2022
82,Student_83,2.87,0.0008757449171703975,CS 440,47.322925,Fall 2022
83,Student_84,3.33,0.0010161082139991022,CS 440,53.097075000000004,Fall 2022
84,Student_85,3.63,0.001107649494539562,CS 440,56.862825,Fall 2022
85,Student_86,3.23,0.000985594453818949,CS 440,51.841825,Fall 2022
86,Student_87,3.25,0.0009916972058549797,CS 440,52.092875,Fall 2022
87,Student_88,3.96,0.0012083449031340676,CS 440,61.00515,Fall 2022
88,Student_89,2.67,0.000814717396810091,CS 440,44.812425,Fall 2022
89,Student_90,2.7,0.0008238715248641371,CS 440,45.189,Fall 2022
90,Student_91,3.4,0.0010374678461252096,CS 440,53.97575,Fall 2022
91,Student_92,3.17,0.0009672861977108572,CS 440,51.088675,Fall 2022
92,Student_93,3.59,0.0010954439904675007,CS 440,56.360724999999995,Fall 2022
93,Student_94,3.89,0.0011869852710079604,CS 440,60.126475,Fall 2022
94,Student_95,3.98,0.0012144476551700983,CS 440,61.2562,Fall 2022
95,Student_96,3.58,0.0010923926144494854,CS 440,56.2352,Fall 2022
96,Student_97,3.45,0.0010527247262152861,CS 440,54.603375,Fall 2022
97,Student_98,3.18,0.0009703375737288725,CS 440,51.214200000000005,Fall 2022
98,Student_99,2.43,0.0007414843723777233,CS 440,41.799825,Fall 2022
99,Student_100,3.19,0.0009733889497468877,CS 440,51.339725,Fall 2022
100,Student_101,2.81,0.0008574366610623055,CS 440,46.569775,Fall 2022
101,Student_102,2.69,0.0008208201488461217,CS 440,45.063475,Fall 2022
102,Student_103,3.24,0.0009886458298369646,CS 440,51.96735,Fall 2022
103,Student_104,3.85,0.001174779766935899,CS 440,59.624375,Fall 2022
104,Student_105,3.44,0.0010496733501972708,CS 440,54.47785,Fall 2022
105,Student_106,2.99,0.0009123614293865814,CS 440,48.829225,Fall 2022
106,Student_107,3.33,0.0010161082139991022,CS 440,53.097075000000004,Fall 2022
107,Student_108,3.02,0.0009215155574406273,CS 440,49.205799999999996,Fall 2022
108,Student_109,3.22,0.0009825430778009339,CS 440,51.716300000000004,Fall 2022
109,Student_110,3.93,0.0011991907750800218,CS 440,60.628575,Fall 2022
110,Student_111,3.04,0.000927618309476658,CS 440,49.45685,Fall 2022
111,Student_112,3.63,0.001107649494539562,CS 440,56.862825,Fall 2022
112,Student_113,3.37,0.0010283137180711636,CS 440,53.599175,Fall 2022
113,Student_114,3.0,0.0009154128054045966,CS 440,48.95475,Fall 2022
114,Student_115,3.38,0.001031365094089179,CS 440,53.7247,Fall 2022
115,Student_116,3.52,0.0010740843583413936,CS 440,55.48205,Fall 2022
116,Student_117,3.06,0.0009337210615126886,CS 440,49.7079,Fall 2022
117,Student_118,3.0,0.0009154128054045966,CS 440,48.95475,Fall 2022
118,Student_119,3.41,0.001040519222143225,CS 440,54.101275,Fall 2022
119,Student_120,3.31,0.0010100054619630718,CS 440,52.846025,Fall 2022
120,Student_121,3.29,0.001003902709927041,CS 440,52.594975,Fall 2022
121,Student_122,2.66,0.0008116660207920758,CS 440,44.6869,Fall 2022
122,Student_123,3.61,0.0011015467425035312,CS 440,56.611774999999994,Fall 2022
123,Student_124,3.71,0.0011320605026836847,CS 440,57.867025,Fall 2022
124,Student_125,3.7,0.0011290091266656693,CS 440,57.7415,Fall 2022
125,Student_126,3.0,0.0009154128054045966,CS 440,48.95475,Fall 2022
126,Student_127,3.25,0.0009916972058549797,CS 440,52.092875,Fall 2022
127,Student_128,3.18,0.0009703375737288725,CS 440,51.214200000000005,Fall 2022
128,Student_129,3.04,0.000927618309476658,CS 440,49.45685,Fall 2022
129,Student_130,3.2,0.0009764403257649032,CS 440,51.465250000000005,Fall 2022
130,Student_131,2.94,0.0008971045492965048,CS 440,48.2016,Fall 2022
131,Student_132,3.68,0.0011229063746296386,CS 440,57.49045,Fall 2022
132,Student_133,3.3,0.0010069540859450562,CS 440,52.7205,Fall 2022
133,Student_134,3.34,0.0010191595900171176,CS 440,53.2226,Fall 2022
134,Student_135,3.21,0.0009794917017829185,CS 440,51.590775,Fall 2022
135,Student_136,3.64,0.0011107008705575773,CS 440,56.988350000000004,Fall 2022
136,Student_137,3.32,0.0010130568379810869,CS 440,52.97155,Fall 2022
137,Student_138,3.67,0.0011198549986116233,CS 440,57.364925,Fall 2022
138,Student_139,3.78,0.0011534201348097919,CS 440,58.7457,Fall 2022
139,Student_140,3.72,0.0011351118787017,CS 440,57.99255,Fall 2022
140,Student_141,3.86,0.0011778311429539144,CS 440,59.7499,Fall 2022
141,Student_142,3.37,0.0010283137180711636,CS 440,53.599175,Fall 2022
142,Student_143,2.98,0.0009093100533685661,CS 440,48.7037,Fall 2022
143,Student_144,3.23,0.000985594453818949,CS 440,51.841825,Fall 2022
144,Student_145,3.2,0.0009764403257649032,CS 440,50.21,Fall 2022
145,Student_146,3.27,0.0009977999578910104,CS 440,50.21,Fall 2022
146,Student_147,3.92,0.0011961393990620062,CS 440,50.21,Fall 2022
147,Student_148,3.06,0.0009337210615126886,CS 440,50.21,Fall 2022
148,Student_149,2.35,0.0007170733642336008,CS 440,50.21,Fall 2022
149,Student_150,3.54,0.001080187110377424,MATH 251,48.1629,Fall 2022
150,Student_151,3.68,0.0011229063746296386,MATH 251,49.68155,Fall 2022
151,Student_152,3.02,0.0009215155574406273,MATH 251,42.5222,Fall 2022
152,Student_153,3.68,0.0011229063746296386,MATH 251,49.68155,Fall 2022
153,Student_154,3.32,0.0010130568379810869,MATH 251,45.77645,Fall 2022
154,Student_155,2.51,0.0007658953805218459,MATH 251,36.989975,Fall 2022
155,Student_156,2.54,0.0007750495085758919,MATH 251,37.3154,Fall 2022
156,Student_157,3.91,0.0011930880230439911,MATH 251,52.176475,Fall 2022
157,Student_158,3.41,0.001040519222143225,MATH 251,46.752725,Fall 2022
158,Student_159,3.03,0.0009245669334586426,MATH 251,42.630675,Fall 2022
159,Student_160,3.28,0.0010008513339090257,MATH 251,45.342549999999996,Fall 2022
160,Student_161,3.85,0.001174779766935899,MATH 251,51.525625000000005,Fall 2022
161,Student_162,3.53,0.0010771357343594087,MATH 251,48.054424999999995,Fall 2022
162,Student_163,3.08,0.0009398238135487193,MATH 251,43.17305,Fall 2022
163,Student_164,3.37,0.0010283137180711636,MATH 251,46.318825000000004,Fall 2022
164,Student_165,3.41,0.001040519222143225,MATH 251,46.752725,Fall 2022
165,Student_166,3.3,0.0010069540859450562,MATH 251,45.5595,Fall 2022
166,Student_167,3.04,0.000927618309476658,MATH 251,42.73915,Fall 2022
167,Student_168,3.43,0.0010466219741792557,MATH 251,46.969675,Fall 2022
168,Student_169,3.73,0.0011381632547197151,MATH 251,50.223925,Fall 2022
169,Student_170,3.02,0.0009215155574406273,MATH 251,42.5222,Fall 2022
170,Student_171,3.12,0.0009520293176207805,MATH 251,43.60695,Fall 2022
171,Student_172,3.29,0.001003902709927041,MATH 251,45.451025,Fall 2022
172,Student_173,3.53,0.0010771357343594087,MATH 251,48.054424999999995,Fall 2022
173,Student_174,3.15,0.0009611834456748265,MATH 251,43.932375,Fall 2022
174,Student_175,2.86,0.0008726935411523821,MATH 251,40.7866,Fall 2022
175,Student_176,2.48,0.0007567412524677999,MATH 251,36.66455,Fall 2022
176,Student_177,2.62,0.0007994605167200144,MATH 251,38.1832,Fall 2022
177,Student_178,3.49,0.0010649302302873475,MATH 251,47.620525,Fall 2022
178,Student_179,3.32,0.0010130568379810869,MATH 251,45.77645,Fall 2022
179,Student_180,2.97,0.0009062586773505508,MATH 251,41.979825000000005,Fall 2022
180,Student_181,3.33,0.0010161082139991022,MATH 251,45.884925,Fall 2022
181,Student_182,3.5,0.0010679816063053629,MATH 251,47.729,Fall 2022
182,Student_183,3.18,0.0009703375737288725,MATH 251,44.2578,Fall 2022
183,Student_184,2.8,0.0008543852850442902,MATH 251,40.135749999999994,Fall 2022
184,Student_185,3.02,0.0009215155574406273,MATH 251,42.5222,Fall 2022
185,Student_186,3.13,0.0009550806936387959,MATH 251,43.715424999999996,Fall 2022
186,Student_187,3.2,0.0009764403257649032,MATH 251,44.47475,Fall 2022
187,Student_188,3.04,0.000927618309476658,MATH 251,42.73915,Fall 2022
188,Student_189,3.34,0.0010191595900171176,MATH 251,45.9934,Fall 2022
189,Student_190,3.04,0.000927618309476658,MATH 251,42.73915,Fall 2022
190,Student_191,3.05,0.0009306696854946732,MATH 251,42.847625,Fall 2022
191,Student_192,3.5,0.0010679816063053629,MATH 251,47.729,Fall 2022
192,Student_193,3.83,0.0011686770148998684,MATH 251,51.308675,Fall 2022
193,Student_194,2.78,0.0008482825330082595,MATH 251,39.9188,Fall 2022
194,Student_195,3.42,0.0010435705981612401,MATH 251,46.8612,Fall 2022
195,Student_196,3.37,0.0010283137180711636,MATH 251,46.318825000000004,Fall 2022
196,Student_197,2.97,0.0009062586773505508,MATH 251,41.979825000000005,Fall 2022
197,Student_198,2.71,0.0008269229008821523,MATH 251,39.159475,Fall 2022
198,Student_199,3.62,0.0011045981185215468,MATH 251,49.0307,Fall 2022
199,Student_200,2.9,0.0008848990452244434,MATH 251,41.2205,Fall 2022
200,Student_201,3.58,0.0010923926144494854,MATH 251,48.5968,Fall 2022
201,Student_202,3.0,0.0009154128054045966,MATH 251,42.30525,Fall 2022
202,Student_203,3.57,0.00108934123843147,MATH 251,48.488324999999996,Fall 2022
203,Student_204,3.79,0.0011564715108278072,MATH 251,50.874775,Fall 2022
204,Student_205,3.67,0.0011198549986116233,MATH 251,49.573075,Fall 2022
205,Student_206,3.56,0.0010862898624134547,MATH 251,48.37985,Fall 2022
206,Student_207,3.89,0.0011869852710079604,MATH 251,51.959525,Fall 2022
207,Student_208,3.25,0.0009916972058549797,MATH 251,45.017125,Fall 2022
208,Student_209,3.77,0.0011503687587917765,MATH 251,50.657825,Fall 2022
209,Student_210,2.98,0.0009093100533685661,MATH 251,42.0883,Fall 2022
210,Student_211,3.19,0.0009733889497468877,MATH 251,44.366275,Fall 2022
211,Student_212,3.08,0.0009398238135487193,MATH 251,43.17305,Fall 2022
212,Student_213,3.11,0.0009489779416027652,MATH 251,43.498475,Fall 2022
213,Student_214,2.78,0.0008482825330082595,MATH 251,39.9188,Fall 2022
214,Student_215,3.22,0.0009825430778009339,MATH 251,44.691700000000004,Fall 2022
215,Student_216,3.9,0.0011900366470259758,MATH 251,52.068,Fall 2022
216,Student_217,3.05,0.0009306696854946732,MATH 251,42.847625,Fall 2022
217,Student_218,2.79,0.000851333909026275,MATH 251,40.027275,Fall 2022
218,Student_219,3.02,0.0009215155574406273,MATH 251,42.5222,Fall 2022
219,Student_220,3.41,0.001040519222143225,MATH 251,46.752725,Fall 2022
220,Student_221,3.66,0.001116803622593608,MATH 251,49.464600000000004,Fall 2022
221,Student_222,3.72,0.0011351118787017,MATH 251,50.11545,Fall 2022
222,Student_223,2.99,0.0009123614293865814,MATH 251,42.196775,Fall 2022
223,Student_224,3.75,0.0011442660067557458,MATH 251,50.440875,Fall 2022
224,Student_225,2.87,0.0008757449171703975,MATH 251,40.895075,Fall 2022
225,Student_226,3.25,0.0009916972058549797,MATH 251,45.017125,Fall 2022
226,Student_227,3.43,0.0010466219741792557,MATH 251,46.969675,Fall 2022
227,Student_228,3.68,0.0011229063746296386,MATH 251,49.68155,Fall 2022
228,Student_229,2.96,0.0009032073013325354,MATH 251,41.87135,Fall 2022
229,Student_230,3.92,0.0011961393990620062,MATH 251,52.284949999999995,Fall 2022
230,Student_231,3.16,0.0009642348216928419,MATH 251,44.04085,Fall 2022
231,Student_232,3.47,0.0010588274782513168,MATH 251,47.403575000000004,Fall 2022
232,Student_233,3.27,0.0009977999578910104,MATH 251,45.234075,Fall 2022
233,Student_234,3.52,0.0010740843583413936,MATH 251,47.945949999999996,Fall 2022
234,Student_235,3.8,0.0011595228868458223,MATH 251,43.39,Fall 2022
235,Student_236,3.06,0.0009337210615126886,MATH 251,43.39,Fall 2022
236,Student_237,3.31,0.0010100054619630718,MATH 251,43.39,Fall 2022
237,Student_238,3.38,0.001031365094089179,CS 487,51.574,Spring 2023
238,Student_239,3.52,0.0010740843583413936,CS 487,53.261,Spring 2023
239,Student_240,3.45,0.0010527247262152861,CS 487,52.417500000000004,Spring 2023
240,Student_241,3.0,0.0009154128054045966,CS 487,46.995000000000005,Spring 2023
241,Student_242,3.22,0.0009825430778009339,CS 487,49.646,Spring 2023
242,Student_243,3.21,0.0009794917017829185,CS 487,49.5255,Spring 2023
243,Student_244,3.08,0.0009398238135487193,CS 487,47.959,Spring 2023
244,Student_245,2.93,0.0008940531732784894,CS 487,46.151500000000006,Spring 2023
245,Student_246,3.46,0.0010557761022333015,CS 487,52.538000000000004,Spring 2023
246,Student_247,2.57,0.0007842036366299378,CS 487,41.8135,Spring 2023
247,Student_248,3.34,0.0010191595900171176,CS 487,51.092,Spring 2023
248,Student_249,2.72,0.0008299742769001678,CS 487,43.621,Spring 2023
249,Student_250,3.54,0.001080187110377424,CS 487,53.502,Spring 2023
250,Student_251,3.24,0.0009886458298369646,CS 487,49.88700000000001,Spring 2023
251,Student_252,3.49,0.0010649302302873475,CS 487,52.8995,Spring 2023
252,Student_253,3.39,0.0010344164701071943,CS 487,51.694500000000005,Spring 2023
253,Student_254,3.03,0.0009245669334586426,CS 487,47.3565,Spring 2023
254,Student_255,3.24,0.0009886458298369646,CS 487,49.88700000000001,Spring 2023
255,Student_256,3.43,0.0010466219741792557,CS 487,52.176500000000004,Spring 2023
256,Student_257,2.87,0.0008757449171703975,CS 487,45.4285,Spring 2023
257,Student_258,3.04,0.000927618309476658,CS 487,47.477000000000004,Spring 2023
258,Student_259,3.22,0.0009825430778009339,CS 487,49.646,Spring 2023
259,Student_260,3.05,0.0009306696854946732,CS 487,47.5975,Spring 2023
260,Student_261,3.23,0.000985594453818949,CS 487,49.7665,Spring 2023
261,Student_262,3.61,0.0011015467425035312,CS 487,54.3455,Spring 2023
262,Student_263,3.6,0.001098495366485516,CS 487,54.225,Spring 2023
263,Student_264,2.87,0.0008757449171703975,CS 487,45.4285,Spring 2023
264,Student_265,3.22,0.0009825430778009339,CS 487,49.646,Spring 2023
265,Student_266,2.8,0.0008543852850442902,CS 487,44.585,Spring 2023
266,Student_267,3.18,0.0009703375737288725,CS 487,49.164,Spring 2023
267,Student_268,3.35,0.001022210966035133,CS 487,51.212500000000006,Spring 2023
268,Student_269,3.4,0.0010374678461252096,CS 487,51.815,Spring 2023
269,Student_270,3.25,0.0009916972058549797,CS 487,50.0075,Spring 2023
270,Student_271,3.25,0.0009916972058549797,CS 487,50.0075,Spring 2023
271,Student_272,3.02,0.0009215155574406273,CS 487,47.236000000000004,Spring 2023
272,Student_273,2.78,0.0008482825330082595,CS 487,44.344,Spring 2023
273,Student_274,3.42,0.0010435705981612401,CS 487,52.056,Spring 2023
274,Student_275,3.45,0.0010527247262152861,CS 487,52.417500000000004,Spring 2023
275,Student_276,3.8,0.0011595228868458223,CS 487,56.635,Spring 2023
276,Student_277,3.81,0.0011625742628638379,CS 487,56.755500000000005,Spring 2023
277,Student_278,3.36,0.0010252623420531483,CS 487,51.333,Spring 2023
278,Student_279,3.13,0.0009550806936387959,CS 487,48.5615,Spring 2023
279,Student_280,3.33,0.0010161082139991022,CS 487,50.971500000000006,Spring 2023
280,Student_281,3.3,0.0010069540859450562,CS 487,50.61,Spring 2023
281,Student_282,3.62,0.0011045981185215468,CS 487,54.466,Spring 2023
282,Student_283,3.1,0.00094592656558475,CS 487,48.2,Spring 2023
283,Student_284,3.47,0.0010588274782513168,CS 487,52.658500000000004,Spring 2023
284,Student_285,3.74,0.0011412146307377307,CS 487,55.912000000000006,Spring 2023
285,Student_286,3.71,0.0011320605026836847,CS 487,55.5505,Spring 2023
286,Student_287,3.36,0.0010252623420531483,CS 487,51.333,Spring 2023
287,Student_288,3.23,0.000985594453818949,CS 487,49.7665,Spring 2023
288,Student_289,3.12,0.0009520293176207805,CS 487,48.441,Spring 2023
289,Student_290,3.45,0.0010527247262152861,CS 487,52.417500000000004,Spring 2023
290,Student_291,2.82,0.0008604880370803209,CS 487,44.826,Spring 2023
291,Student_292,3.7,0.0011290091266656693,CS 487,55.43000000000001,Spring 2023
292,Student_293,3.31,0.0010100054619630718,CS 487,50.7305,Spring 2023
293,Student_294,3.0,0.0009154128054045966,CS 487,46.995000000000005,Spring 2023
294,Student_295,3.42,0.0010435705981612401,CS 487,52.056,Spring 2023
295,Student_296,3.69,0.001125957750647654,CS 487,55.3095,Spring 2023
296,Student_297,2.83,0.0008635394130983362,CS 487,44.9465,Spring 2023
297,Student_298,3.88,0.001183933894989945,CS 487,57.599000000000004,Spring 2023
298,Student_299,3.34,0.0010191595900171176,CS 487,51.092,Spring 2023
299,Student_300,3.64,0.0011107008705575773,CS 487,54.707,Spring 2023
300,Student_301,3.38,0.001031365094089179,CS 487,51.574,Spring 2023
301,Student_302,3.24,0.0009886458298369646,CS 487,49.88700000000001,Spring 2023
302,Student_303,3.26,0.000994748581872995,CS 487,50.128,Spring 2023
303,Student_304,3.75,0.0011442660067557458,CS 487,56.0325,Spring 2023
304,Student_305,3.41,0.001040519222143225,CS 487,51.935500000000005,Spring 2023
305,Student_306,3.42,0.0010435705981612401,CS 487,52.056,Spring 2023
306,Student_307,3.38,0.001031365094089179,CS 487,51.574,Spring 2023
307,Student_308,3.35,0.001022210966035133,CS 487,51.212500000000006,Spring 2023
308,Student_309,3.49,0.0010649302302873475,CS 487,52.8995,Spring 2023
309,Student_310,3.35,0.001022210966035133,CS 487,48.2,Spring 2023
310,Student_311,3.45,0.0010527247262152861,CS 487,48.2,Spring 2023
311,Student_312,3.51,0.001071032982323378,CS 487,48.2,Spring 2023
312,Student_313,3.27,0.0009977999578910104,CS 440,47.652675,Spring 2023
313,Student_314,2.95,0.0009001559253145201,CS 440,43.995875000000005,Spring 2023
314,Student_315,2.57,0.0007842036366299378,CS 440,39.653425,Spring 2023
315,Student_316,3.28,0.0010008513339090257,CS 440,47.766949999999994,Spring 2023
316,Student_317,2.81,0.0008574366610623055,CS 440,42.396025,Spring 2023
317,Student_318,2.23,0.0006804568520174169,CS 440,35.768074999999996,Spring 2023
318,Student_319,3.1,0.00094592656558475,CS 440,45.71,Spring 2023
319,Student_320,3.3,0.0010069540859450562,CS 440,47.9955,Spring 2023
320,Student_321,3.65,0.0011137522465755926,CS 440,51.995125,Spring 2023
321,Student_322,3.77,0.0011503687587917765,CS 440,53.366425,Spring 2023
322,Student_323,3.11,0.0009489779416027652,CS 440,45.824275,Spring 2023
323,Student_324,2.89,0.0008818476692064282,CS 440,43.310225,Spring 2023
324,Student_325,3.91,0.0011930880230439911,CS 440,54.966275,Spring 2023
325,Student_326,3.53,0.0010771357343594087,CS 440,50.623825,Spring 2023
326,Student_327,3.36,0.0010252623420531483,CS 440,48.681149999999995,Spring 2023
327,Student_328,3.14,0.0009581320696568112,CS 440,46.1671,Spring 2023
328,Student_329,3.05,0.0009306696854946732,CS 440,45.138625,Spring 2023
329,Student_330,3.22,0.0009825430778009339,CS 440,47.0813,Spring 2023
330,Student_331,3.87,0.0011808825189719297,CS 440,54.509175,Spring 2023
331,Student_332,3.3,0.0010069540859450562,CS 440,47.9955,Spring 2023
332,Student_333,2.9,0.0008848990452244434,CS 440,43.4245,Spring 2023
333,Student_334,3.27,0.0009977999578910104,CS 440,47.652675,Spring 2023
334,Student_335,3.78,0.0011534201348097919,CS 440,53.4807,Spring 2023
335,Student_336,3.27,0.0009977999578910104,CS 440,47.652675,Spring 2023
336,Student_337,3.14,0.0009581320696568112,CS 440,46.1671,Spring 2023
337,Student_338,2.98,0.0009093100533685661,CS 440,44.3387,Spring 2023
338,Student_339,3.37,0.0010283137180711636,CS 440,48.795425,Spring 2023
339,Student_340,2.75,0.0008391284049542136,CS 440,41.710375,Spring 2023
340,Student_341,3.91,0.0011930880230439911,CS 440,54.966275,Spring 2023
341,Student_342,3.22,0.0009825430778009339,CS 440,45.71,Spring 2023
342,Student_343,3.7,0.0011290091266656693,MATH 251,57.2815,Spring 2023
343,Student_344,3.59,0.0010954439904675007,MATH 251,55.911725,Spring 2023
344,Student_345,3.41,0.001040519222143225,MATH 251,53.670275000000004,Spring 2023
345,Student_346,3.05,0.0009306696854946732,MATH 251,49.187374999999996,Spring 2023
346,Student_347,3.57,0.00108934123843147,MATH 251,55.662675,Spring 2023
347,Student_348,3.35,0.001022210966035133,MATH 251,52.923125,Spring 2023
348,Student_349,3.69,0.001125957750647654,MATH 251,57.156975,Spring 2023
349,Student_350,3.08,0.0009398238135487193,MATH 251,49.560950000000005,Spring 2023
350,Student_351,2.92,0.0008910017972604741,MATH 251,47.56855,Spring 2023
351,Student_352,3.06,0.0009337210615126886,MATH 251,49.3119,Spring 2023
352,Student_353,3.09,0.0009428751895667345,MATH 251,49.685475,Spring 2023
353,Student_354,3.99,0.0012174990311881136,MATH 251,60.892725000000006,Spring 2023
354,Student_355,2.85,0.0008696421651343669,MATH 251,46.696875000000006,Spring 2023
355,Student_356,3.46,0.0010557761022333015,MATH 251,54.2929,Spring 2023
356,Student_357,2.52,0.0007689467565398612,MATH 251,42.58755,Spring 2023
357,Student_358,2.89,0.0008818476692064282,MATH 251,47.194975,Spring 2023
358,Student_359,3.13,0.0009550806936387959,MATH 251,50.183575,Spring 2023
